"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
,"Catalan","Creador","Persona, família o entitat corporativa responsable del contingut intel·lectual o artístic d’una obra.",,"Agent [TG]",,20100809
,"Chinese","创作者","对一部作品的知识或艺术内容负有责任的个人、家族或团体。",,"代理 [BT]
","IME ICC",20090805
,"Croatian","Stvaratelj","Osoba, obitelj ili korporativno tijelo odgovorno za intelektualni ili umjetnički sadržaj djela.",,"Posrednik [ŠP]",,20090812
,"Czech","Tvůrce","osoba, rodina či korporace odpovědná za intelektuální či umělecký obsah díla.",,"Agent [BT]",,20090812
,"Finnish","Tekijä","henkilö, perhe/suku tai yhteisö, joka on vastuussa teoksen tiedollisesta tai taiteellisesta sisällöstä.",,"Agentti [ST]",,20100810
,"French","Créateur","Personne, famille ou collectivité responsable du contenu intellectuel ou artistique d'une œuvre.",,"Agent [TG]",,20090805
,"German","Geistiger Schöpfer","Eine Person, Familie oder Körperschaft, die für den intellektuellen oder künstlerischen Inhalt eines Werks verantwortlich ist.",,"Agent [OB]",,20090812
,"Italian","Creatore","Persona, famiglia o ente responsabile del contenuto intellettuale o artistico di un’opera.",,"Agente [BT]",,20090812
,"Japanese","作成者","著作の知的・芸術的内容に責任をもつ個人、家族または団体。　　",,"行為主体［BT］",,20090805
,"Korean","저작자","저작의 지적 또는 예술적 내용에 책임을 지닌 개인이나 가족, 단체",,"책임주체 (Agent) [BT]도 보라",,20090805
,"Latvian","Radītājs","persona, dzimta vai institūcija, kas atbildīga par darba intelektuālo vai māksliniecisko saturu.",,"Aģents [PT]",,20090813
,"Lithuanian","Kūrėjas","asmuo, giminė ar kolektyvas, atsakingi už intelektinį ar meninį kūrinio turinį.",,"Veiksnys [PT]",,20100809
,"Polish","Twórca","osoba, rodzina lub ciało zbiorowe odpowiedzialne za intelektualną lub artystyczną zawartość dzieła.",,"Agent [TS]",,20100810
,"Portuguese","Criador","Pessoa, família ou colectividade (entidade) responsável pelo conteúdo intelectual ou artístico de uma obra.",,"Agente [TG]",,20090812
,"Russian","Создатель","лицо, род, или организация, ответственные за интеллектуальное или художественное содержание произведения.",,"Агент [БШТ]",,20090805
,"Slovak","Tvorca","osoba, rodina alebo korporácia zodpovedná za intelektuálny alebo umelecký obsah diela.",,"Agent [BT]",,20090805
,"Slovene","Ustvarjalec","oseba, rodbina ali korporacija, odgovorna za intelektualno ali umetniško vsebino dela.",,"Dejavnik (ŠP)",,20090813
,"Spanish","Creador","Una persona, familia o entidad corporativa responsable del contenido intelectual o artístico de una obra.",,"Agente[TG]",,20090805
,"Swedish","Upphovsman","En person, familj eller institution som ansvarar för det intellektuella eller konstnärliga innehållet i ett verk.",,"Agent [ÖT]",,20090813
,"Thai","ผู้สร้างสรรค์ผลงาน","หรือนิติบุคคลหนึ่งที่รับผิดชอบต่อเนื้อหาทางสติปัญญาและ
ศิลปะของงาน",,"ตัวแทน [BT]",,20090805
,"Vietnamese","Sáng tạo viên","Một người, gia đình hay đoàn thể chịu trách nhiệm về nội dụng nghệ thuật hay trí tuệ của một tác phẩm.",,"Chủ thể [Thuật ngữ rộng]",,20090813
,,,,,,,
,"English","Descriptive cataloguing","The part of cataloguing that provides both descriptive data and non-subject access points.  ",,"Bibliographic description [RT], Subject cataloguing [RT]","IME ICC",20090805
,"Albanian","Katalogim përshkrues","Pjesa e katalogimit që jep të dhënat përshkruese dhe pikat hyrëse jo për subjekte.",,"Katalogim lëndor [RT], Përshkrim bibliografik [RT]",,20090811
,"Arabic","الفهرسة الوصفية","جزء الفهرسة الذي يوفر البيانات الوصفية ونقاط الوصول غير الموضوعية.",,"الوصف الببليوغرافي [RT]، الفهرسة الموضوعية [RT]",,20090805
,"Bulgarian","Описателна каталогизация","Частта от каталогизацията, осигуряваща описателни данни и точки за достъп, които не са свързани със съдържанието.",,"Библиографско описание [А], Съдържателна каталогизация [А]",,20100810
,"Catalan","Catalogació descriptiva","Part de la catalogació que proporciona dades descriptives i punts d’accés, exclosos els de matèries.",,"Catalogació de matèries [TR], Descripció bibliogràfica [TR]",,20100809
,"Chinese","描述性编目","编目工作的组成部分，提供描述性数据和非主题检索点。
",,"书目著录 [RT]，主题编目 [RT]","IME ICC
",20090805
,"Croatian","Deskriptivna katalogizacija","Dio katalogizacije koji osigurava opisne podatke i pristupnice koje nisu predmetnice.",,"Bibliografski opis [SP], Predmetna katalogizacija [SP]",,20090812
,"Czech","Popisná katalogizace","část katalogizace, jejímž výsledkem jsou jak popisné, tak selekční údaje s výjimkou věcných.",,"Bibliografický popis [RT], Věcná katalogizace [RT]",,20090812
,"Finnish","Kuvaileva luettelointi","Se osa luettelointia, joka sisältää sekä kuvailutiedot että muut kuin sisältöä koskevat hakutiedot.",,"Bibliografinen kuvailu [RT], Sisällönkuvailu [RT]",,20100810
,"French","Catalogage descriptif","Partie du catalogage qui établit à la fois les données descriptives et les points d'accès autres que les accès matière.",,"Catalogage matière [TA], Description bibliographique [TA]",,20090805
,"German","Formalerschließung","Der Teil der Erschließung, der sowohl beschreibende Daten als auch nicht auf den Inhalt bezogene Sucheinstiege erstellt.",,"Bibliografische Beschreibung [VB], Sacherschließung [VB]",,20090812
,"Italian","Catalogazione descrittiva","La parte di catalogazione che fornisce sia dati descrittivi sia punti di accesso che non siano di soggetto.",,"Descrizione bibliografica [RT], Catalogazione per soggetto [RT]",,20090812
,"Japanese","記述目録作業","目録作業において、記述データおよび主題以外のアクセスポイントの両者を与える部分。　　",,"主題目録作業［RT］、書誌記述［RT］　をも見よ。",,20090805
,"Korean","기술목록법","기술 데이터와 비주제 접근점 모두를 제시하는 목록기법의 한 영역",,"서지기술 (Bibliographic description) [RT], 주제명목록법 (Subject cataloguing) [RT]도 보라",,20090805
,"Latvian","Aprakstošā kataloģizācija","kataloģizācijas daļa, kas nodrošina gan aprakstošos datus, gan piekļuves punktus (izņemot priekšmetu).",,"Bibliogrāfiskais apraksts (ST), Priekšmetošana (ST)",,20090813
,"Lithuanian","Aprašomasis katalogavimas","katalogavimo dalis, kuri pateikia ir aprašomuosius duomenis, ir kreipties elementus, išskyrus dalykinius terminus ir
klasifikacinius indeksus.",,"Bibliografinis aprašas [SJT], Dalykinis ir sisteminis katalogavimas [SJT]",,20100809
,"Polish","Katalogowanie formalne","część katalogowania, która uwzględnia opis formalny bez rzeczowych punktów dostępu.",,"Opis bibliograficzny [TZ], Katalogowanie rzeczowe [TZ]",,20100810
,"Portuguese","Catalogação descritiva","A parte do processamento bibliográfico que fornece quer os dados descritivos quer os pontos de acesso que não são de assunto.",,"Descrição bibliográfica [TR], Catalogação de assunto [TR]",,20090812
,"Russian","Описательная каталогизация ","часть каталогизации, которая обеспечивает и описательные данные, и нетематические точки доступа.",,"Библиографическое описание [СТ], Содержательная каталогизация [СТ]",,20090805
,"Slovak","Popisná katalogizácia","časť katalogizácie, ktorej výsledkom sú popisné a selekčné údaje s výnimkou vecných.",,"Bibliografický popis [RT], Vecná katalogizácia [RT]",,20090805
,"Slovene","Opisna katalogizacija","del katalogizacije, ki preskrbi tako opisne podatke kot tudi vstopne točke, ki niso povezane z vsebino.",,"Bibliografski opis (SP), Vsebinska katalogizacija (SP)",,20090813
,"Spanish","Catalogación descriptiva","La parte de la catalogación que proporciona información descriptiva y puntos de acceso, excluyendo los de materias.",,"Catalogación por materias [TR], Descripcion bibliográfica [TR]",,20090805
,"Swedish","Deskriptiv katalogisering","Den del av katalogiseringen som redovisar beskrivande data och och sökingångar som inte har med ämnet att göra.",,"Bibliografisk beskrivning [RT], Ämneskatalogisering [RT]",,20090813
,"Thai","การลงรายการเชิงบรรยาย","ส่วนของการลงรายการที่ให้ข้อมูลเชิงบรรยายและ
	จุดเข้าถึงที่ไม่ใช่หัวเรื่อง
",,"รายละเอียดทางบรรณานุกรม [RT], การลงรายการเชิงหัวเรื่อง [RT] รายละเอียดทางบรรณานุกรม [RT], การลงรายการเชิงหัวเรื่อง [RT]",,20090805
,"Vietnamese","Mục lục mô tả","Là một phần của mục lục cung cấp dữ liệu mô tả và những điểm truy cập không theo chủ đề.",,"Mô tả thư mục [Thuật ngữ liên quan], Mục lục chủ đề [Thuật ngữ liên quan]",,20090813
,,,,,,,
,"English","Entity","Something that has a unitary and self-contained character; something that has independent or separate existence; an abstraction, ideal concept, object of thought, or transcendental object.",,,"Webster’s 3rd",20090805
,"Albanian","Entitet","Diçka që ka karakter unik dhe të pavarur, diçka që ka ekzistencë të pavarur ose të veçantë; abstraksion, koncept ideal, objekt i mendimit ose  objekt idealist.",,,,20090811
,"Arabic","الكيان","شيء له خصائصه كوحدة مميزة ... شيء له وجود مستقل أو منفصل ... تجريد، مفهوم مثالي، شيء فكري، أو شيء جوهري.
أمثلة أنواع الكيانات في المتطلبات الوظيفية للتسجيلات الببليوغرافية FRBR)) والمتطلبات الوظيفية للبيانات الاستنادية FRAD)) تشمل الإنتاج الفكري والفني (العمل، التعبير، المظهر، والوعاء)؛ العاملون (شخص، عائلة، هيئة) المسئولون عن صنع هذا المحتوى الفكري أو الفني، إنتاج وبث المحتوى في شكل مادي، أو المسئول عن صيانة المنتج ؛ أو موضوع التعبير الفكري أو الفني (عمل، تعبير، مظهر، وعاء، شخص، عائلة، هيئة، مفهوم، شيء، حدث، مكان)",,,,20090805
,"Bulgarian","Обект","Нещо, което има цялостен и самостоятелен характер. Нещо, което съществува отделно и независимо. Абстракция, идеално понятие, предмет на мисълта или трансцедентен обект.",,,,20100810
,"Catalan","Entitat","Quelcom que té un caràcter unitari i autònom; quelcom que té una existència independent o separada; abstracció, concepte ideal, objecte de pensament o objecte transcendental.",,,,20100809
,"Chinese","实体","具有单一与自我独立特征的某些事物；独立或单独存在的某些事物；一种抽象的观念、思想的概念、思考的客体，或先验的对象。
FRBR和FRAD实体类型的实例包括，知识或艺术创作的产品（作品、内容表达、载体表现和单件）；对知识或艺术内容的创作、对物理形式之内容的制作和散发，或对产品保管的维持负有责任的代理（即个人、家族、团体）；或者一部作品的主题（作品、内容表达、载体表现、单件、个人、家族、团体、概念、实物、事件、地点）。",,,"Webster’s 3rd; IME ICC",20090805
,"Croatian","Entitet","Ono što je jedinstveno i potpuno; ono što postoji nezavisno ili zasebno; apstrakcija, idealan pojam, objekt mišljenja ili transcendentalan objekt.",,,,20090812
,"Czech","Entita","Něco, co má unitární a samostatný charakter; co existuje nezávisle či samostatně; abstrakce, ideový koncept, objekt myšlení či transcendentální objekt.",,,,20090812
,"Finnish","Entiteetti","on luonteeltaan yhtenäinen ja muista riippumaton olio. Se on olemassa itsenäisenä tai erillisenä; abstraktio, ihanne, ajattelun kohde tai transkendentaalinen kohde.",,,,20100810
,"French","Entité","Quelque chose ayant un caractère unitaire et autonome ; quelque chose qui existe d'une façon indépendante ou singulière ; abstraction, concept, objet de pensée, ou objet transcendantal.",,,,20090805
,"German","Entität","Etwas, das einen einheitlichen und in sich geschlossenen Charakter hat, etwas, das unabhängig ist oder gesondert existiert, eine Abstraktion, ein Begriff, ein Gedankengut oder ein metaphysisches Objekt.",,,,20090812
,"Italian","Entità","Qualcosa che ha un carattere unitario e un contenuto in sé; qualcosa che ha un’esistenza indipendente o separata; un’astrazione, un concetto ideale, un oggetto di un pensiero o un oggetto trascendente.",,,,20090812
,"Japanese","実体","一個の単位をもち自己完結する性格をもつもの；独自または個別の存在をもつもの；抽象概念、思想的概念、思考対象、観念的対象。　　",,,,20090805
,"Korean","개체","하나의 단위로 자기완결의 특성을 지닌 사물, 독립된 혹은 독자적으로 존재하는 사물, 추상적 개념, 이상적 개념, 사고의 대상, 선험적 대상",,,,20090805
,"Latvian","Entītija","kaut kas unitārs un patstāvīgs; kaut kas neatkarīgi un atsevišķi pastāvošs; abstrakcija, iedomāts jēdziens, domas objekts vai transcendentāls objekts.",,,,20090813
,"Lithuanian","Entitetas","tai, kam būdingas vientisumas ir savarankiškumas; tai, kas nepriklausomai ar atskirai egzistuoja; abstrakcija, ideali koncepcija, minties objektas arba transcendentinis objektas.",,,,20100809
,"Polish","Jednostka","coś, co ma jednostkowy i samodzielny charakter, coś co posiada niezależną i oddzielną egzystencję; abstrakcja, pojęcie, obiekt myśli lub obiekt
transcendentny.",,,,20100810
,"Portuguese","Entidade","Algo que possui um carácter unitário e auto-contido; algo que tem existência independente ou separada; uma abstracção, conceito ideal, objeto de pensamento ou transcendental.",,,,20090812
,"Russian","Объект","нечто, обладающее целостными и самостоятельными свойствами, нечто независимое и отдельно существующее; абстракция, идеальная концепция, предмет мысли или трансцендентальный предмет.",,,,20090805
,"Slovak","Entita","Niečo, čo má unitárny a samostatný charakter; čo existuje nezávisle alebo samostatne; abstrakcia, ideový koncept, objekt myslenia alebo transcendentálny objekt.",,,,20090805
,"Slovene","Entiteta","kar ima edinstven in individualni značaj;  kar obstaja neodvisno in ločeno od drugega; abstrakcija, idejni koncept, miselni objekt, transcendentalni objekt.",,,,20090813
,"Spanish","Entidad","Algo que tiene carácter unitario y contenido en sí mismo; algo que tiene independencia o existencia individual; una abstracción, concepto ideal, objeto del pensamiento u objeto trascendental.",,,,20090805
,"Swedish","Entitet","(viss) avgränsad och enhetlig företeelse av konkret el. abstrakt slag.",,,"NE:s ordbok",20090813
,"Thai","เอนทิตี","สิ่งใดสิ่งหนึ่งที่เป็นหน่วยเดียวและมีคุณลักษณะในตัวเอง สิ่งใดสิงหนึ่งที่มีการดำรงอยู่อย่าง
	เป็นอิสระหรือแยกออกมา นามธรรม ความคิดอุดมคติ วัตถุทางความคิดหรือวัตถุทางจิตวิญญาณ",,,,20090805
,"Vietnamese","Thực thể","Là vật thể có một đặc điểm đơn nhất và độc lập, là vật thể tồn tại độc lập hay riêng rẽ, là sự trừu tượng hóa, là khái niệm ý tưởng, là đối tượng tư duy, hay đối tượng mơ hồ.",,,,20090813
,,,,,,,
,"English","Essential access point","An access point based on a main attribute or relationship of an entity in a bibliographic or authority record that ensures retrieval and identification of that record.",,"Access point [BT], Additional access point [RT]","IME ICC",20090805
,"Albanian","Pikë hyrëse kryesore","Pikë hyrëse bazuar në një atribut kryesor ose lidhje të një entiteti në një regjistrim bibliografik ose regjistrim termi të njësuar që siguron gjetjen dhe identifikimin e atij regjistrimi.",,"Pikë hyrëse [BT], Pikë hyrëse shtesë [RT]",,20090812
,"Arabic","نقطة الوصول الأساسية","نقطة الوصول المبنية على الحقول والعلاقات الأساسية لكل كيان في التسجيلات الببليوغرافية والاستنادية، والتي تضمن الاسترجاع والتعرف على هذه التسجيلات.",,"نقطة الوصول [BT]، نقطة الوصول الإضافية [RT]",,20090805
,"Bulgarian","Основна точка за достъп","Точка за достъп, основана на първостепенни атрибут или връзка на обекта в библиографския или контролния запис, която осигурява откриването и идентифицирането на записа.",,"Точка за достъп [ВТ], Допълнителна точка за достъп [А]",,20100810
,"Catalan","Punt d’accés essencial","Punt d’accés basat en un atribut o una relació principal d’una entitat en un registre bibliogràfic o d’autoritat que assegura la recuperació i identificació d’aquest registre.",,"Punt d’accés [TG], Punt d’accés addicional [TR]",,20100809
,"Chinese","基本检索点","以书目记录或规范记录中某一实体的主要属性或关系为基础的检索点，以确保对那些记录的检索和识别。",,"检索点 [BT]，附加检索点 [RT]
",,20090805
,"Croatian","Neophodna pristupnica","Pristupnica koja se temelji na glavnom atributu ili odnosu entiteta u bibliografskom ili preglednom zapisu, a osigurava pronalaženje i identifikaciju toga zapisa.",,"Dodatna pristupnica [SP], Pristupnica [ŠP]",,20090812
,"Czech","Základní selekční údaj","selekční údaj založený na hlavním atributu či vztahu entity v bibliografickém či autoritním záznamu, který zajišťuje vyhledání a identifikaci záznamu.",,"Selekční údaj [BT], Doplňkový selekční údaj [RT]",,20090812
,"Finnish","Ensisijainen hakutieto","Bibliografisen tai auktoriteettitietueen hakutieto, jonka perustana on tietueen löytyvyyden ja identifioinnin kannalta tärkein attribuutti tai suhde.",,"Hakutieto [LT], Lisätty hakutieto [RT]",,20100810
,"French","Point d'accès essentiel","Point d'accès basé sur le principal attribut ou sur la principale relation d'une entité dans une notice bibliographique ou d'autorité, et qui permet à cette notice d'être recherchée et identifiée.  ",,"Point d'accès [TG], Point d'accès supplémentaire [TA]",,20090805
,"German","Notwendiger Sucheinstieg","Ein Sucheinstieg, der auf den Hauptmerkmalen und -beziehungen jeder Entität in bibliografischen Datensätzen oder Normdatensätzen basiert und sicherstellt, dass solche Datensätze gefunden und identifiziert werden können.",,"Sucheinstieg [OB], Zusätzlicher Sucheinstieg [VB]",,20090812
,"Italian","Punto di accesso indispensabile","Punto di accesso basato su un attributo o una relazione principali di un’entità in una registrazione bibliografica o di autorità, che assicura il recupero e l’identificazione di quella registrazione.",,"Punto di accesso [BT], Punto di accesso aggiuntivo [RT]",,20090812
,"Japanese","中核的アクセスポイント","書誌レコードまたは典拠レコードの中の、実体の主要な属性または関連に基づくアクセスポイントであり、そのレコードの検索および識別を確実にする",,"アクセスポイント［BT］、付加的アクセスポイント［RT］　",,20090805
,"Korean","필수 접근점","서지레코드나 전거레코드에서 각 개체의 주된 속성과 개체간의 관계에 기초한 접근점으로서, 해당 레코드를 검색하고 식별하기 위한 것이다.",,"접근점 (Access point) [BT], 부차적 접근점 (Additional access point) [RT]도 보라.",,20090805
,"Latvian","Svarīgākais piekļuves punkts","piekļuves punkts, kas pamatojas uz entītijas galveno atribūtu vai attiecību bibliogrāfiskajā vai autoritatīvajā ierakstā un kurš nodrošina šī ieraksta identifikāciju un izguvi.",,"Piekļuves punkts [PT], Papildu piekļuves punkts [ST]",,20090813
,"Lithuanian","Esminis kreipties elementas","kreipties elementas, pagrįstas pagrindiniu entiteto atributu ar santykiu bibliografiniame ar autoritetiniame įraše, palengvinantis šio įrašo paiešką ir identifikavimą.",,"Kreipties elementas [PT], Papildomas kreipties elementas [SJT]",,20100809
,"Polish","Podstawowy punkt dostępu","punkt dostępu, oparty na głównym
atrybucie lub relacji jednostki w rekordzie bibliograficznym lub wzorcowym, zapewniający wyszukiwanie i identyfikację tego rekordu.",,"Punkt dostępu [TS], Dodatkowy punkt dostępu [TZ]",,20100810
,"Portuguese","Ponto de acesso essencial","Ponto de acesso baseado nos principais atributos e relações de cada entidade constante nos registos bibliográficos ou de autoridade, que assegura a identificação e recuperação desses registos.",,"Ponto de acesso [TG], Ponto de acesso adicional [TR]",,20090812
,"Russian","Обязательная точка доступа","точка доступа, основанная на главном атрибуте или связи  объекта в библиографической или авторитетной записи, которая обеспечивает поиск и идентификацию этой записи.",,"Дополнительная точка доступа [СТ], Точка доступа [БШТ] ",,20090805
,"Slovak","Základný selekčný údaj","selekčný údaj založený na hlavnom atribúte alebo vzťahu entity v bibliografickom alebo autoritatívnom zázname, ktorý zabezpečuje vyhľadanie a identifikáciu záznamu.",,"Selekčný údaj [BT], Doplnkový selekčný údaj [RT]",,20090805
,"Slovene","Bistvena vstopna točka","vstopna točka v bibliografskem ali normativnem zapisu, ki temelji na glavnem atributu ali odnosu, v katerem je entiteta, ter omogoča najdenje in identifikacijo tega zapisa.",,"Dodatna vstopna točka (SP), Vstopna točka (ŠP)",,20090813
,"Spanish","Punto de acceso esencial","Es un punto de acceso basado en un atributo principal  o relación de una entidad en un registro bibliográfico o de autoridad,  que asegura la recuperación e identificación de dicho registro",,"Punto de acesso [TG], Punto de acceso adicional [TR]",,20090805
,"Swedish","Grundläggande sökingång","En sökingång baserad på entitetens huvudattribut eller huvudrelation i en bibliografisk post eller en auktoritetspost, som garanterar att posten ifråga kan återfinnas och identifieras.",,"Sökingång [ÖT], Ytterligare sökingång [RT]",,20090813
,"Thai","จุดเข้าถึงที่จำเป็น","จุดเข้าถึงที่มาจากแอททริบิวท์และความสัมพันธ์หลักของ
	เอนทิตีในรายการบรรณานุกรมและรายการควบคุม เพื่อการค้นคืนและระบุระเบียนเหล่านั้น
",,"จุดเข้าถึง [BT], จุดเข้าถึงเพิ่มเติม [RT]",,20090805
,"Vietnamese","Điểm truy cập cần thiết","Một điểm truy cập dựa vào thuộc tính hay mối quan hệ chính yếu của một thực thể trong biểu ghi thư mục hay biểu ghi tiêu đề chuẩn nhằm đảm bảo cho sự truy cập và tính xác định của biểu ghi.",,"Điểm truy cập [Thuật ngữ rộng], Điểm truy cập bổ sung [Thuật ngữ liên quan]",,20090813
,,,,,,,
,"English","Event","An action or occurrence.",,,"FRAD (those not acting as corporate bodies are considered subjects), FRBR",20090805
,"Albanian","Ngjarje","Veprim ose ndodhi.",,,"FRAD (ato që nuk veprojnë si organizma konsiderohen subjekte), FRBR",20090811
,"Arabic","الحدث","فعل أو حدوث",,,,20090805
,"Bulgarian","Събитие","Действие или явление.",,,"FRAD (събитията, които не функционират като колективни органи се приемат за предмети, FRBR",20100810
,"Catalan","Esdeveniment","Acció o fet.",,,"FRAD (aquells que no actuen com a entitats corporatives es consideren matèries), FRBR",20100809
,"Chinese","事件","一个行动或一件发生的事情。",,,"FRAD（未作为团体的事件则视为主题）, FRBR",20090805
,"Croatian","Događaj","Djelovanje ili pojava.",,,"FRAD (oni koji nisu korporativna tjela smatraju se predmetima), FRBR",20090812
,"Czech","Událost","činnost nebo akce.",,,"FRAD (pokud události nemají charakter korporace, tj. nejednají jako korporace, považují se za předměty), FRBR",20090812
,"Finnish","Tapahtuma","Toiminta tai tilaisuus.",,,"FRAD (tapahtumat, joita ei katsota yhteisöiksi pidetään kohteina), FRBR",20100810
,"French","Événement","Fait accompli ou survenu.",,,"FRAD (les événements qui n'agissent pas en tant que collectivités sont considérés comme des sujets), FRBR",20090805
,"German","Ereignis","Eine abgeschlossene Handlung oder eine Begebenheit.",,,"FRAD (diejenigen, die keine Körperschaften sind, werden wie Schlagwörter behandelt), FRBR",20090812
,"Italian","Evento","Azione o avvenimento.",,,"FRAD (quelli che non agiscono come enti sono considerati soggetti), FRBR",20090805
,"Japanese","出来事","行為や事件。　　",,,"FRAD（団体として活動しないものは主題とみなされる）、FRBR",20090805
,"Korean","사건","행위나 일어난 일",,,"FRAD(단체로서 작용하지 않는 단체는 주제로 취급된다), FRBR",20090805
,"Latvian","Notikums","darbība vai gadījums.",,,"FRAD (uzskatāms par priekšmetu, ja tam nav piedēvējama institūcijas nozīme), FRBR",20090813
,"Lithuanian","Įvykis","veiksmas arba faktas.",,,"FRAD (tai, kas neatlieka kolektyvo funkcijų, laikomi dalykais), FRBR",20100809
,"Polish","Wydarzenie","działanie lub zdarzenie.",,,"FRAD (te, które nie działają jako ciała
zbiorowe, są traktowane jako tematy), FRBR",20100810
,"Portuguese","Evento","Ação ou ocorrência.",,,"FRAD (eventos que não constituem colectividades (entidades) são considerados assuntos), FRBR",20090812
,"Russian","Событие","действие или явление.",,,,20090805
,"Slovak","Udalosť","činnosť alebo akcia.",,,"FRAD (pokiaľ udalosti nemajú charakter korporácie, t. j. nekonajú ako korporácie, považujú sa za predmety), FRBR",20090805
,"Slovene","Dogodek","dejanje ali dogajanje.",,,"FRAD (dogodke, ki ne veljajo za korporacije, obravnavamo kot teme), FRBR",20090813
,"Spanish","Acontecimiento","Una acción o suceso.",,,"FRAD (aquellos que no actúan como entidades corporativas son considerados materias), FRBR",20090805
,"Swedish","Händelse","En handling eller tilldragelse.",,,"FRAD (sådana som inte agerar som institutioner betraktas som ämnen), FRBR",20090813
,"Thai","เหตุการณ์","การกระทำหรือกิจกรรม",,,"FRAD (พิจารณาจากการกระทำที่ไม่ใช่ในรูปแบบนิติบุคคล), FRBR",20090805
,"Vietnamese","Sự kiện","Một hành động hay sự việc diễn ra.",,,"FRAD (những sự kiện không đóng vai trò là đoàn thể thì được coi là chủ ngữ), FRBR",20090813
,,,,,,,
,"English","Expression","The intellectual or artistic realisation of a work.",,,"FRAD, FRBR",20090805
,"Albanian","Shprehje","Realizimi intelektual ose artistik i një vepre.",,,,20090812
,"Arabic","التعبير","الإدراك الفكري أو الفني للعمل",,,,20090805
,"Bulgarian","Форма на проявление","Интелектуалното или художествено осъществяване на произведение.",,,,20100810
,"Catalan","Expressió","Realització intel·lectual o artística d’una obra.",,,,20100809
,"Chinese","内容表达","一部作品的知识或艺术的实现。",,,"FRAD，FRBR",20090805
,"Croatian","Izraz","Intelektualna ili umjetnička realizacija djela.",,,,20090812
,"Czech","Vyjádření","intelektuální či umělecká realizace díla.",,,,20090812
,"Finnish","Ekspressio","Teoksen tiedollinen tai taiteellinen toteutus.",,,,20100810
,"French","Expression","Réalisation intellectuelle ou artistique d'une œuvre.",,,,20090805
,"German","Expression","Die intellektuelle oder künstlerische Umsetzung eines Werks.",,,,20090812
,"Italian","Espressione","Realizzazione intellettuale o artistica di un’opera.",,,,20090812
,"Japanese","表現形","著作の知的・芸術的実現",,,,20090805
,"Korean","표현형","저작의 지적 또는 예술적 실현물",,,,20090805
,"Latvian","Izteiksme","darba īstenošanas intelektuālā vai mākslinieciskā forma.",,,,20090813
,"Lithuanian","Išraiška","intelektinis ar meninis kūrinio realizavimas.",,,,20100809
,"Polish","Realizacja","intelektualna lub artystyczna reprezentacja dzieła.",,,,20100810
,"Portuguese","Expressão","Realização intelectual ou artística de uma obra.",,,,20090812
,"Russian","Выражение","интеллектуальная или художественная форма реализации произведения.",,,,20090805
,"Slovak","Vyjadrenie","intelektuálna alebo umelecká realizácia diela.",,,,20090805
,"Slovene","Izrazna oblika","intelektualna ali umetniška izvedba dela.",,,,20090813
,"Spanish","Expresión","La realización intelectual o artística de una obra.",,,,20090805
,"Swedish","Uttryck","Det intellektuella eller konstnärliga förverkligandet av ett verk.",,,,20090813
,"Thai","รูปแบบการนำเสนอ","การแสดงออกทางสติปัญญาหรือศิลปะของงาน",,,,20090805
,"Vietnamese","Biểu ngữ","Sự hiện thực hóa mang tính trí tuệ và nghệ thuật của tác phẩm.",,,,20090813
,,,,,,,
,"English","Family","Two or more persons related by birth, marriage, adoption, or similar legal status, or otherwise presenting themselves as a family.",,,"FRAD, as modified by IME ICC",20090805
,"Albanian","Familje","Dy ose më shumë persona të afërm nga lindja, martesa, birësimi ose status tjetër ligjor, ose që e paraqesin veten si familje.",,,"FRAD, modifikuar nga IME ICC",20090811
,"Arabic","العائلة","شخصين أو أكثر مرتبطين بعلاقة الرحم، الزواج، التبني، أو وضع قانوني مشابه، أو يقدموا أنفسهم كعائلة.",,,,20090805
,"Bulgarian","Фамилия","Две или повече лица, свързани по рождение, чрез брак, осиновяване или друг подобен правен статус или представящи се по друг начин за семейство.",,,"FRAD, с изменения от IME ICC",20100810
,"Catalan","Família","Dues o més persones relacionades per naixement, matrimoni, adopció o per un estatus legal similar o que, si més no, es presenten a elles mateixes com a família.",,,"FRAD, modificat per IME ICC",20100809
,"Chinese","家族","在出生、婚姻、抚养或类似的法律身份方面存在关系的两个或多个个人，或以其它方式将其本身表现为一个家族。",,,"FRAD, 经IME ICC修改",20090805
,"Croatian","Obitelj","Dvije ili više osoba povezane rođenjem, brakom, posvojenjem ili sličnim zakonskim statusom ili koje se na koji drugi način predstavljaju kao obitelj.",,,"FRAD, preradio IME ICC",20090812
,"Czech","Rodina","Dvě či více osoby příbuzné narozením, sňatkem, adopcí nebo podobným legálním statusem, či prezentující se jako rodina.",,,"FRAD, modifikován IME ICC",20090812
,"Finnish","Perhe/suku","Kaksi tai useampia henkilöitä, joita yhdistää toisiinsa syntyperä, avioliitto, adoption tai vastaava lain mukainen status, tai jotka muulla tavoin esittäytyvät perheenä.",,,"FRAD, mukautettuna IME ICC",20100810
,"French","Famille","Plusieurs personnes liées par la naissance, le mariage, l'adoption, ou un statut légal similaire, ou qui se présentent elles-mêmes comme formant une famille.",,,"FRAD modifiée par IME ICC",20090805
,"German","Familie","Zwei oder mehr Personen, die durch Geburt, Heirat, Adoption oder einen vergleichbaren gesetzlichen Status miteinander in Beziehung stehen oder sich als eine Familie darstellen.",,,"FRAD, modifiziert durch IME ICC",20090812
